ethnicity,gender,numerator,denominator,percentage
white,all,293200,401300,73.06254672
white,female,145700,204400,71.28180039
white,male,147500,196900,74.9111224
black,all,51200,90300,56.69988926
black,female,32700,51000,64.11764706
black,male,18600,39400,47.20812183
indian,all,38000,47500,80
indian,female,18300,22100,82.80542986
indian,male,19700,25500,77.25490196
pakistani/bangladeshi,all,70600,140500,50.24911032
pakistani/bangladeshi,female,25200,70600,35.69405099
pakistani/bangladeshi,male,45400,69900,64.94992847
mixed,all,6500,10300,63.10679612
mixed,female,1900,2500,76
mixed,male,4600,7800,58.97435897
other,all,24900,47400,52.53164557
other,female,11900,22000,54.09090909
other,male,13100,25300,51.77865613
