"","age_range","outcome","involved_person","self_defined_ethnicity","gender","legislation","outcome_linked_to_object_of_search","datetime","removal_of_more_than_outer_clothing","outcome_object.id","outcome_object.name","location.latitude","location.street.id","location.street.name","location.longitude","operation","officer_defined_ethnicity","type","operation_name","object_of_search"
"1",18-24,Arrest,TRUE,Other ethnic group - Not stated,Male,Firearms Act 1968 (section 47),TRUE,2021-08-04T21:09:50+00:00,NULL,bu-arrest,Arrest,52.396759,1246312,On or near Petrol Station,-2.007319,FALSE,White,Person search,NULL,Firearms
"2",25-34,Arrest,TRUE,Other ethnic group - Not stated,Male,Firearms Act 1968 (section 47),TRUE,2021-08-04T21:16:00+00:00,NULL,bu-arrest,Arrest,52.396759,1246312,On or near Petrol Station,-2.007319,FALSE,Mixed,Person search,NULL,Firearms
"3",25-34,Arrest,TRUE,Other ethnic group - Not stated,Male,Firearms Act 1968 (section 47),TRUE,2021-08-04T21:12:22+00:00,NULL,bu-arrest,Arrest,52.396364,1246315,On or near Hospital,-2.008994,FALSE,White,Person search,NULL,Firearms
"4",25-34,Arrest,TRUE,Other ethnic group - Not stated,Female,Firearms Act 1968 (section 47),TRUE,2021-08-04T21:14:01+00:00,NULL,bu-arrest,Arrest,52.396364,1246315,On or near Hospital,-2.008994,FALSE,White,Person search,NULL,Firearms
"5",over 34,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),TRUE,2021-08-05T16:41:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,White,Person search,NULL,Stolen goods
"6",NULL,A no further action disposal,TRUE,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),FALSE,2021-08-12T13:44:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,White,Person search,NULL,Anything to threaten or harm anyone
"7",10-17,Arrest,TRUE,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),TRUE,2021-08-12T12:30:00+00:00,FALSE,bu-arrest,Arrest,52.454200,1488851,Tyseley (Station),-1.839340,NULL,Asian,Person search,NULL,Controlled drugs
"8",25-34,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),FALSE,2021-08-18T18:48:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.442000,1488837,Selly Oak (Station),-1.935770,NULL,White,Person search,NULL,Stolen goods
"9",10-17,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2021-08-20T11:33:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,White,Person search,NULL,Controlled drugs
"10",18-24,A no further action disposal,TRUE,Other ethnic group - Any other ethnic group,Male,Police and Criminal Evidence Act 1984 (section 1),FALSE,2021-08-20T12:49:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,White,Person search,NULL,Article for use in theft
"11",18-24,A no further action disposal,TRUE,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),FALSE,2021-08-21T21:42:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.396700,1488827,Longbridge (Station),-1.980980,NULL,White,Person search,NULL,Anything to threaten or harm anyone
"12",18-24,A no further action disposal,TRUE,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),FALSE,2021-08-21T21:53:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.396700,1488827,Longbridge (Station),-1.980980,NULL,White,Person search,NULL,Anything to threaten or harm anyone
"13",18-24,A no further action disposal,TRUE,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2021-08-25T18:20:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.478371,1490678,Birmingham New Street (Station),-1.898012,NULL,Black,Person search,NULL,Controlled drugs
"14",over 34,Arrest,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),TRUE,2021-08-27T13:53:00+00:00,FALSE,bu-arrest,Arrest,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,White,Person search,NULL,Anything to threaten or harm anyone
"15",NULL,A no further action disposal,FALSE,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2021-08-30T14:25:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.579900,1488816,Four Oaks (Station),-1.828220,NULL,White,Vehicle search,NULL,Controlled drugs
"16",18-24,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),TRUE,2021-08-30T21:48:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.451100,1488852,University (Station),-1.936790,NULL,White,Person and Vehicle search,NULL,Controlled drugs
"17",18-24,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),TRUE,2021-08-31T22:59:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,White,Person search,NULL,Anything to threaten or harm anyone
"18",18-24,Khat or Cannabis warning,TRUE,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),TRUE,2021-07-31T20:57:00+00:00,NULL,bu-khat-or-cannabis-warning,Khat or Cannabis warning,52.401847,1246288,On or near Rubery Lane,-2.010862,FALSE,Asian,Person and Vehicle search,NULL,Controlled drugs
"19",18-24,Penalty Notice for Disorder,TRUE,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2021-07-22T01:57:52+00:00,NULL,bu-penalty-notice,Penalty Notice for Disorder,52.403357,1245922,On or near Alcester Road South,-1.885439,FALSE,Asian,Person search,NULL,Controlled drugs
"20",18-24,A no further action disposal,TRUE,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),TRUE,2021-07-22T01:53:07+00:00,NULL,bu-no-further-action,A no further action disposal,52.403357,1245922,On or near Alcester Road South,-1.885439,FALSE,Asian,Person search,NULL,Controlled drugs
"21",18-24,A no further action disposal,TRUE,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),TRUE,2021-07-22T01:43:12+00:00,NULL,bu-no-further-action,A no further action disposal,52.403357,1245922,On or near Alcester Road South,-1.885439,FALSE,Asian,Person and Vehicle search,NULL,Controlled drugs
"22",18-24,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),TRUE,2021-07-14T23:21:42+00:00,NULL,bu-no-further-action,A no further action disposal,52.389154,1244148,On or near Ashbridge Court,-2.006935,FALSE,White,Person and Vehicle search,NULL,Controlled drugs
"23",18-24,Arrest,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),TRUE,2021-07-18T22:55:10+00:00,NULL,bu-arrest,Arrest,52.394534,1246176,On or near Dormy Drive,-1.965950,FALSE,White,Person search,NULL,Article for use in theft
"24",18-24,A no further action disposal,TRUE,Asian/Asian British - Any other Asian background,Male,Police and Criminal Evidence Act 1984 (section 1),TRUE,2021-07-31T20:56:00+00:00,NULL,bu-no-further-action,A no further action disposal,52.406118,1246464,On or near Gorsymead Grove,-1.997736,FALSE,Asian,Person and Vehicle search,NULL,Anything to threaten or harm anyone
"25",over 34,A no further action disposal,TRUE,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),TRUE,2021-07-01T15:30:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,White,Person search,NULL,Controlled drugs
"26",NULL,A no further action disposal,TRUE,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),TRUE,2021-07-02T17:58:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Asian,Person search,NULL,Controlled drugs
"27",NULL,A no further action disposal,TRUE,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2021-07-02T18:14:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Asian,Person search,NULL,Controlled drugs
"28",NULL,A no further action disposal,TRUE,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2021-07-02T20:20:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Asian,Person search,NULL,Controlled drugs
"29",NULL,A no further action disposal,TRUE,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),FALSE,2021-07-03T03:53:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,White,Person search,NULL,Firearms
"30",NULL,A no further action disposal,TRUE,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2021-07-06T12:40:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Asian,Person search,NULL,Controlled drugs
"31",10-17,A no further action disposal,TRUE,Asian/Asian British - Bangladeshi,Male,Misuse of Drugs Act 1971 (section 23),TRUE,2021-07-06T14:28:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Asian,Person search,NULL,Controlled drugs
"32",25-34,A no further action disposal,TRUE,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Police and Criminal Evidence Act 1984 (section 1),FALSE,2021-07-07T17:20:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Black,Person search,NULL,Anything to threaten or harm anyone
