ethnicity,gender,numerator,denominator,percentage
white,all,113200,146400,0.773224044
white,female,52300,68400,0.764619883
white,male,60900,78000,0.780769231
black,all,14600,22800,0.640350877
black,female,9900,16200,0.611111111
black,male,4600,6600,0.696969697
indian,all,2100,3200,0.65625
indian,female,1800,1800,1
indian,male,!,1400,#VALUE!
pakistani/bangladeshi,all,!,#,#VALUE!
pakistani/bangladeshi,female,!,!,#VALUE!
pakistani/bangladeshi,male,!,!,#VALUE!
mixed,all,2200,4200,0.523809524
mixed,female,1100,1100,1
mixed,male,!,3100,#VALUE!
other,all,11100,16600,0.668674699
other,female,5500,9400,0.585106383
other,male,5700,7300,0.780821918
