Date,Stop Ref,Time,Subject,Reason for Stop,Outcome,Outcome Reason,Apparent Age,Gender,Ethnic Appearance Code,EA Group,Self-defined Ethnicity Code,SDE Group,,
01/09/2020,YRZS00097291,20:30:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,22,M                                                 ,3 Black                                           ,Black,B2 African,Black,,
01/09/2020,YRZS00097292,19:20:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,17,M                                                 ,3 Black                                           ,Black,B2 African,Black,,
01/09/2020,YRZS00097280,13:42:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,20,M                                                 ,3 Black                                           ,Black,B2 African,Black,,
01/09/2020,YRZS00097286,20:55:00,Person                                                                                                                                                                                                                                                         ,A Stolen property (s.1 PACE),1 No further action,Not Applicable                                    ,30,F                                                 ,3 Black                                           ,Black,N4 Person decli,Other,,
01/09/2020,YRZS00097294,15:50:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),11 Penalty Notice (PND/FPN),B Drugs                                           ,19,M                                                 ,1 White - North European                          ,White,O9 Any other et,Other,,
01/09/2020,YRZS00097290,15:30:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,21,F                                                 ,1 White - North European                          ,White,W1 British,White,,
01/09/2020,YRZS00097287,16:40:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,15,M                                                 ,0 Unknown                                         ,Other,O9 Any other et,Other,,
01/09/2020,YRZS00097300,22:49:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,22,M                                                 ,3 Black                                           ,Black,B2 African,Black,,
01/09/2020,YRZS00097295,20:15:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,18,M                                                 ,3 Black                                           ,Black,B2 African,Black,,
01/09/2020,YRZS00097296,19:15:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,18,M                                                 ,3 Black                                           ,Black,N4 Person decli,Other,,
01/09/2020,YRZS00097288,19:20:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,19,M                                                 ,3 Black                                           ,Black,N4 Person decli,Other,,
01/09/2020,YRZS00097281,13:42:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,20,M                                                 ,3 Black                                           ,Black,N4 Person decli,Other,,
01/09/2020,YRZS00097293,19:13:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,24,M                                                 ,4 Asian                                           ,Asian,A9 Any other As,Asian,,
01/09/2020,YRZS00097285,20:40:00,Person                                                                                                                                                                                                                                                         ,D Weapons Point & Blades (s.1 PACE s.139 CJ Act),1 No further action,Not Applicable                                    ,17,M                                                 ,2 White - South European                          ,White,N4 Person decli,Other,,
01/09/2020,YRZS00097289,19:00:00,Person                                                                                                                                                                                                                                                         ,D Weapons Point & Blades (s.1 PACE s.139 CJ Act),1 No further action,Not Applicable                                    ,24,M                                                 ,3 Black                                           ,Black,B2 African,Black,,
01/09/2020,YRZS00097284,20:50:00,Person                                                                                                                                                                                                                                                         ,D Weapons Point & Blades (s.1 PACE s.139 CJ Act),1 No further action,Not Applicable                                    ,24,M                                                 ,4 Asian                                           ,Asian,A3 Bangladeshi,Asian,,
02/09/2020,YRZS00097301,16:45:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,17,M                                                 ,3 Black                                           ,Black,N4 Person decli,Other,,
02/09/2020,YRZS00097307,21:12:00,Person                                                                                                                                                                                                                                                         ,A Stolen property (s.1 PACE),1 No further action,Not Applicable                                    ,25,M                                                 ,3 Black                                           ,Black,B2 African,Black,,
02/09/2020,YRZS00097460,16:41:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,18,M                                                 ,1 White - North European                          ,White,W1 British,White,,
02/09/2020,YRZS00097327,16:44:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,18,M                                                 ,3 Black                                           ,Black,B1 Caribbean,Black,,
02/09/2020,YRZS00097304,16:44:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,40,M                                                 ,3 Black                                           ,Black,B9 Any other Bl,Black,,
02/09/2020,YRZS00097461,22:57:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,20,M                                                 ,3 Black                                           ,Black,B9 Any other Bl,Black,,
02/09/2020,YRZS00097326,17:20:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,20,M                                                 ,3 Black                                           ,Black,M1 White and Bl,Other,,
02/09/2020,YRZS00097302,18:26:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,18,M                                                 ,3 Black                                           ,Black,N4 Person decli,Other,,
02/09/2020,YRZS00097299,11:50:00,Person                                                                                                                                                                                                                                                         ,B Drugs (s.23 Misuse of Drugs Act),1 No further action,Not Applicable                                    ,34,M                                                 ,6 Middle Eastern                                  ,Other,O9 Any other et,Other,,
02/09/2020,YRZS00097306,21:33:00,Person                                                                                                                                                                                                                                                         ,D Weapons Point & Blades (s.1 PACE s.139 CJ Act),1 No further action,Not Applicable                                    ,46,M                                                 ,3 Black                                           ,Black,B1 Caribbean,Black,,
02/09/2020,YRZS00097297,04:25:00,Person                                                                                                                                                                                                                                                         ,D Weapons Point & Blades (s.1 PACE s.139 CJ Act),1 No further action,Not Applicable                                    ,20,M                                                 ,3 Black                                           ,Black,N4 Person decli,Other,,
02/09/2020,YRZS00097308,21:54:00,Person                                                                                                                                                                                                                                                         ,D Weapons Point & Blades (s.1 PACE s.139 CJ Act),1 No further action,Not Applicable                                    ,21,M                                                 ,3 Black                                           ,Black,N4 Person decli,Other,,
02/09/2020,YRZS00097303,16:40:00,Person                                                                                                                                                                                                                                                         ,D Weapons Point & Blades (s.1 PACE s.139 CJ Act),1 No further action,Not Applicable                                    ,23,M                                                 ,3 Black                                           ,Black,N4 Person decli,Other,,
02/09/2020,YRZS00097305,21:40:00,Person                                                                                                                                                                                                                                                         ,D Weapons Point & Blades (s.1 PACE s.139 CJ Act),4 Arrested,W Criminal Justice Offences (inc Recall Wanted Circulations Wanted on Warrant & Bail Act offences),40,F                                                 ,1 White - North European                          ,White,W1 British,White,,
02/09/2020,YRZS00097324,16:26:00,Person                                                                                                                                                                                                                                                         ,F Going equipped (s.1 PACE),1 No further action,Not Applicable                                    ,21,M                                                 ,2 White - South European                          ,White,W1 British,White,,
03/09/2020,YRZS00097320,16:30:00,Person                                                                                                                                                                                                                                                         ,A Stolen property (s.1 PACE),1 No further action,Not Applicable                                    ,51,M                                                 ,1 White - North European                          ,White,W1 British,White,,
03/09/2020,YRZS00097325,16:25:00,Person                                                                                                                                                                                                                                                         ,A Stolen property (s.1 PACE),1 No further action,Not Applicable                                    ,65,M                                                 ,2 White - South European                          ,White,W9 Any other Wh,White,,
03/09/2020,YRZS00097322,15:50:00,Person                                                                                                                                                                                                                                                         ,A Stolen property (s.1 PACE),1 No further action,Not Applicable                                    ,14,M                                                 ,3 Black                                           ,Black,B9 Any other Bl,Black,,
